smile_A,mol_fraction_A,smile_B,mol_fraction_B,logCMC
CC(CCC(=O)[O-])C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.[Na+],1,CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0,3.303196057
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1,3.799359608
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.2,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.8,3.857132336
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.4,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.6,3.908114279
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.6,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.4,3.921952414
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,0.8,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.2,4.032365656
CCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,1,C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0,4.400685821
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1,2.937803272
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.2,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.8,2.948992771
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.3,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.7,2.96321364
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.5,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.5,3.072255882
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.7,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.3,3.199485197
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.8,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.2,3.276959858
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.9,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.1,3.389913701
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],1,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0,3.462374124
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],1,4.334061065
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.02,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.98,4.269045183
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.055,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.945,4.13799251
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.1,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.9,4.001264992
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.2,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.8,3.886676393
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.3,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.7,3.795773438
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.5,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.5,3.689056502
C(CCO)[N+](CCO)(C)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Cl-],0.6,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],0.4,3.63705346
